# CSV-File created with merge-csv.com
# -----------------------------------------------------------

CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
00009,ACCT 1A,01Y,TR,830,1020,Lakshmamma,Venkata,L74
27176,ACCT 1A,02Y,MW,930,1045,Kevin,Mello,L76
27178,ACCT 1A,03Y,MW,1130,1320,Jeffrey,West,L74
21305,ACCT 1A,03Z,TR,1420,1610,Sandra,Li,ONLINE
27177,ACCT 1A,04Y,TR,1030,1220,Sandra,Li,L76
27175,ACCT 1A,04Z,TR,1230,1420,Mia,Breen,ONLINE
27683,ACCT 1A,05Y,MW,1330,1520,John,Lord,L81
24001,ACCT 1A,05Z,MW,930,1120,Catherina,Wong,ONLINE
00018,ACCT 1A,06Y,TR,1130,1320,Catherina,Wong,L81
25923,ACCT 1A,07Z,TR,930,1120,Richard,Claire,ONLINE
27682,ACCT 1A,08Y,MW,1030,1145,Lih,Hung,L84
26772,ACCT 1A,1GZ,TR,1420,1610,Sandra,Li,ONLINE
00007,ACCT 1A,67Z,,,,Scott,Osborne,ONLINE
00022,ACCT 1A,68Z,,,,Sandra,Li,ONLINE
27878,ACCT 1AH,04Z,TR,1230,1420,Mia,Breen,ONLINE
27896,ACCT 1AH,06Y,TR,1130,1320,Catherina,Wong,L81
24284,ACCT 1B,01Y,MW,1100,1215,Kevin,Mello,L76
27684,ACCT 1B,02Z,MW,1800,1950,Michael,Riordan,ONLINE
25909,ACCT 1B,03Y,TR,1330,1520,Jeffrey,West,L74
27685,ACCT 1B,03Z,MW,1330,1420,Catherina,Wong,ONLINE
22465,ACCT 1B,62Z,,,,Sandra,Li,ONLINE
27897,ACCT 1BH,03Z,MW,1330,1420,Catherina,Wong,ONLINE
27690,ACCT 1C,01Z,T,1000,1150,Lih,Hung,ONLINE
27691,ACCT 1C,02Z,MW,930,1120,Lakshmamma,Venkata,ONLINE
00041,ACCT 1C,62Z,,,,Scott,Osborne,ONLINE
25916,ACCT 1C,65Z,,,,Lydia,Botsford,ONLINE
27212,ACCT 51A,62Z,,,,Kevin,Mello,ONLINE
27694,ACCT 58,62Z,,,,John,Lord,ONLINE
24843,ACCT 64,62Z,,,,Lauri,Hammond,ONLINE
24722,ACCT 67,62Z,,,,Lydia,Botsford,ONLINE
27187,ACCT 68,64Z,,,,Lydia,Botsford,ONLINE
24561,ACCT 74,62Z,,,,Alexis,James,ONLINE
27695,ACCT 87AI,62Z,,,,Lauri,Hammond,ONLINE
25924,ACCT 88,65Z,,,,Lauri,Hammond,ONLINE
22260,ADMJ 1,01Y,M,1030,1220,James,Suits,L22
27742,ADMJ 3,50Z,,,,James,Suits,ONLINE
26985,ADMJ 6,50Z,,,,Ramona,Gabriel,ONLINE
27736,ADMJ 11,01Z,W,1800,1950,Kevin,Lee,ONLINE
24340,ADMJ 29,65Z,,,,Meghan,Kensler,ONLINE
26987,ADMJ 51,50Z,,,,Ramona,Gabriel,ONLINE
27739,ADMJ 54,50Z,,,,DuJuan,Green,ONLINE
27667,ADMJ 61,01Y,W,1800,1950,Jeremiah,Garrido,L22
27680,ADMJ 73,01Z,R,1800,1950,James,Suits,ONLINE
27670,ADMJ 74A,01Y,R,1030,1220,Ramona,Gabriel,L22
26438,ADMJ 75,01Z,M,1800,1950,Griffin,Bonini,ONLINE
26996,AFAM 10,60Z,,,,Julie,Keiffer-Lewis,ONLINE
27608,AFAM 10,61Z,,,,Shanita,Ealey,ONLINE
27966,AFAM 10,62Z,,,,Julie,Keiffer-Lewis,ONLINE
26420,AFAM 12A,60Z,,,,Julie,Keiffer-Lewis,ONLINE
27631,ASAM 1,40,MW,1000,1150,Wayne,Jopanda,MCC-12
25794,ASAM 1,61Z,,,,Mae,Lee,ONLINE
25795,ASAM 11,01Y,R,1230,1400,Mae,Lee,MLC109
27800,ASAM 11,60Z,,,,Mae,Lee,ONLINE
27626,ASAM 20,60Z,,,,Francesca,Caparas,ONLINE
25792,ASAM 40,61Z,,,,So,Kam Lee,ONLINE
25797,ASAM 41,61Z,,,,Young,Jung,ONLINE
26997,CETH 8,61Z,,,,Marc,Coronado,ONLINE
26399,CETH 10,63Z,,,,Mae,Lee,ONLINE
26401,CETH 13,61Z,,,,Catie,Cadge-Moore,ONLINE
26406,CETH 13,62Z,,,,Catie,Cadge-Moore,ONLINE
26402,CETH 29,65Z,,,,Meghan,Kensler,ONLINE
27629,CHLX 10,1FY,W,1330,1520,Felipe,Ponce,MCC-10
27018,CHLX 10,60Z,,,,Felipe,Ponce,ONLINE
27340,CHLX 10,61Z,,,,Robert,Unzueta,ONLINE
27348,CHLX 10,62Z,,,,Robert,Unzueta,ONLINE
27017,CHLX 13,60Z,,,,Angelina,Loyola,ONLINE
27956,ICS 7,01Y,M,930,1120,Nick,Chivers,MLC111
27957,ICS 7,02Y,W,930,1120,Thalia,Bobadilla,MLC111
26486,ICS 25,50Z,,,,Laura,Chin,ONLINE
27057,ICS 27,1EZ,TR,1800,1950,Cynthia,Kaufman,ONLINE
28015,ICS 77,65R,,,,Mae,Lee,ONLINE
27950,ICS 80X,65R,,,,Cynthia,Kaufman,ONLINE
27951,ICS 81X,65R,,,,Cynthia,Kaufman,ONLINE
27952,ICS 82X,65R,,,,Cynthia,Kaufman,ONLINE
26403,NAIS 12,60Z,,,,Meghan,Kensler,ONLINE
27906,NAIS 31,01Y,M,1130,1320,David,Palaita,MCC-10
27905,NAIS 31,02V,M,1130,1320,David,Palaita,MCC-10
24755,ANTH 1,01Y,W,1330,1520,Ameeta,Tiwana,MLC102
21055,ANTH 1,03Y,M,1030,1220,Elisabeth-Anne,Mabie,MLC102
28010,ANTH 1,51Z,,,,Elisabeth-Anne,Mabie,ONLINE
00076,ANTH 1,52Z,,,,Ameeta,Tiwana,ONLINE
00082,ANTH 1,55Z,,,,Emily,Beggs,ONLINE
00083,ANTH 1,56Z,,,,Emily,Beggs,ONLINE
27301,ANTH 1,57Z,,,,Leslie,Berry,ONLINE
22301,ANTH 1,62Z,,,,Julie,Hui,ONLINE
24757,ANTH 1L,01,M,1330,1620,Emily,Beggs,MLC101
00086,ANTH 1L,51Z,,,,Elisabeth-Anne,Mabie,ONLINE
21056,ANTH 1L,52Z,,,,Ameeta,Tiwana,ONLINE
21157,ANTH 1L,53Z,,,,Ameeta,Tiwana,ONLINE
21760,ANTH 1L,54Z,,,,Ameeta,Tiwana,ONLINE
00089,ANTH 2,01Y,M,1330,1520,Daniel,Solomon,L24
00095,ANTH 2,02Y,R,1330,1520,Angel,Roque,L24
00093,ANTH 2,03Y,T,1330,1520,Ashidhara,Das,L24
25306,ANTH 2,52Z,,,,Alicia,Hedges,ONLINE
22789,ANTH 2,54Z,,,,Mayra,Cerda Aguilar,ONLINE
22297,ANTH 2,65Z,,,,Angel,Roque,ONLINE
25551,ANTH 3,01Y,TR,1130,1220,Alicia,Hedges,L24
27734,ANTH 4,50Z,,,,Nancy,Olsen,ONLINE
26449,ANTH 5,50Z,,,,Daniel,Solomon,ONLINE
02449,ANTH 6,50Z,,,,Ashidhara,Das,ONLINE
25303,ANTH 7,50Z,,,,Elisabeth-Anne,Mabie,ONLINE
27928,APRN 60A,01,TR,1800,2215,Gerilowie,Escalona,E12C
27929,APRN 60B,01,TR,1800,2215,Gerilowie,Escalona,E12C
25343,APRN 60F,95,TR,1800,2215,Xavier,Silva,E12F
25345,APRN 60G,96,TR,1800,2215,Xavier,Silva,E12F
26473,APRN 61A,95,MW,1800,2215,Michael,Rodemeyer,E12C
26474,APRN 61B,96,MW,1800,2215,Michael,Rodemeyer,E12C
27916,APRN 65P,61,MW,1930,2245,Pete,Vernazza,S49
27917,APRN 65W,62,MW,1800,1905,Pete,Vernazza,S49
00213,AUTO 50A,01,MW,1030,1220,Bill,Wishart,E12A
00214,AUTO 50A,02,TR,1030,1220,Bill,Wishart,E12A
00215,AUTO 50A,61,T,1800,2150,Bill,Wishart,E12A
26503,AUTO 50A,62,W,1800,2150,Bill,Wishart,E12A
23979,AUTO 50B,01,M,1230,1345,Bill,Wishart,E12A
26512,AUTO 50B,02,T,1230,1345,Ivan,Kojnok,E12A
23983,AUTO 50B,61,M,1800,1915,Bill,Wishart,E12A
23982,AUTO 50B,62,R,1800,1915,Travis,Loiacono,E12A
26472,AUTO 57A,55Z,,,,Brett,Johnson,ONLINE
00221,AUTO 60,61,MW,1800,2215,Ivan,Kojnok,E12B
26843,AUTO 60,62,TR,1800,2215,Ivan,Kojnok,E12B
27924,AUTO 60A,01,TR,1800,2215,Gerilowie,Escalona,E12C
00222,AUTO 60A,95,MW,1800,2215,Xavier,Silva,E12F
27925,AUTO 60B,01,TR,1800,2215,Gerilowie,Escalona,E12C
00223,AUTO 60B,96,MW,1800,2215,Xavier,Silva,E12F
25331,AUTO 60F,95,TR,1800,2215,Xavier,Silva,E12F
25336,AUTO 60G,96,TR,1800,2215,Xavier,Silva,E12F
26476,AUTO 61A,95,MW,1800,2215,Michael,Rodemeyer,E12C
26477,AUTO 61B,96,MW,1800,2215,Michael,Rodemeyer,E12C
27676,AUTO 65P,61,MW,1930,2245,Pete,Vernazza,S49
27678,AUTO 65W,62,MW,1800,1905,Pete,Vernazza,S49
23611,AUTO 91A,55,MT,730,920,James,Tallent,E12C
23879,AUTO 92A,55,WR,730,920,James,Tallent,E12C
23612,AUTO 94A,55,TWRF,730,920,Brett,Johnson,E12B
23613,AUTO 94B,55,TWRF,730,920,Brett,Johnson,E12B
23791,AUTO 99A,55,MTWRF,730,850,Pete,Vernazza,E12F
23796,AUTO 99B,55,MTWRF,730,850,Pete,Vernazza,E12F
25776,AUTO 350A,01,MW,1030,1220,Bill,Wishart,E12A
25786,AUTO 350A,02,TR,1030,1220,Bill,Wishart,E12A
24961,AUTO 350A,61,T,1800,2150,Bill,Wishart,E12A
26504,AUTO 350A,62,W,1800,2150,Bill,Wishart,E12A
26021,AUTO 350B,01,M,1230,1345,Bill,Wishart,E12A
26510,AUTO 350B,02,T,1230,1345,Ivan,Kojnok,E12D
24962,AUTO 350B,61,M,1800,1915,Bill,Wishart,E12A
25538,AUTO 350B,62,R,1800,1915,Travis,Loiacono,E12A
24963,AUTO 360,61,MW,1800,2215,Ivan,Kojnok,E12B
26845,AUTO 360,62,TR,1800,2215,Ivan,Kojnok,E12B
27926,AUTO 360A,01,TR,1800,2215,Gerilowie,Escalona,E12C
25770,AUTO 360A,95,MW,1800,2215,Xavier,Silva,E12F
27927,AUTO 360B,01,TR,1800,2215,Gerilowie,Escalona,E12C
25771,AUTO 360B,96,MW,1800,2215,Xavier,Silva,E12F
25768,AUTO 360F,95,TR,1800,2215,Xavier,Silva,E12F
25769,AUTO 360G,96,TR,1800,2215,Xavier,Silva,E12F
26470,AUTO 361A,95,MW,1800,2215,Michael,Rodemeyer,E12C
26469,AUTO 361B,96,MW,1800,2215,Michael,Rodemeyer,E12C
27677,AUTO 365P,61,MW,1930,2245,Pete,Vernazza,S49
27679,AUTO 365W,62,MW,1800,1905,Pete,Vernazza,S49
26996,AFAM 10,60Z,,,,Julie,Keiffer-Lewis,ONLINE
27608,AFAM 10,61Z,,,,Shanita,Ealey,ONLINE
27966,AFAM 10,62Z,,,,Julie,Keiffer-Lewis,ONLINE
26420,AFAM 12A,60Z,,,,Julie,Keiffer-Lewis,ONLINE
27631,ASAM 1,40,MW,1000,1150,Wayne,Jopanda,MCC-12
25794,ASAM 1,61Z,,,,Mae,Lee,ONLINE
25795,ASAM 11,01Y,R,1230,1400,Mae,Lee,MLC109
27800,ASAM 11,60Z,,,,Mae,Lee,ONLINE
27626,ASAM 20,60Z,,,,Francesca,Caparas,ONLINE
25792,ASAM 40,61Z,,,,So,Kam Lee,ONLINE
25797,ASAM 41,61Z,,,,Young,Jung,ONLINE
26997,CETH 8,61Z,,,,Marc,Coronado,ONLINE
26399,CETH 10,63Z,,,,Mae,Lee,ONLINE
26401,CETH 13,61Z,,,,Catie,Cadge-Moore,ONLINE
26406,CETH 13,62Z,,,,Catie,Cadge-Moore,ONLINE
26402,CETH 29,65Z,,,,Meghan,Kensler,ONLINE
27629,CHLX 10,1FY,W,1330,1520,Felipe,Ponce,MCC-10
27018,CHLX 10,60Z,,,,Felipe,Ponce,ONLINE
27340,CHLX 10,61Z,,,,Robert,Unzueta,ONLINE
27348,CHLX 10,62Z,,,,Robert,Unzueta,ONLINE
27017,CHLX 13,60Z,,,,Angelina,Loyola,ONLINE
27956,ICS 7,01Y,M,930,1120,Nick,Chivers,MLC111
27957,ICS 7,02Y,W,930,1120,Thalia,Bobadilla,MLC111
26486,ICS 25,50Z,,,,Laura,Chin,ONLINE
27057,ICS 27,1EZ,TR,1800,1950,Cynthia,Kaufman,ONLINE
28015,ICS 77,65R,,,,Mae,Lee,ONLINE
27950,ICS 80X,65R,,,,Cynthia,Kaufman,ONLINE
27951,ICS 81X,65R,,,,Cynthia,Kaufman,ONLINE
27952,ICS 82X,65R,,,,Cynthia,Kaufman,ONLINE
26403,NAIS 12,60Z,,,,Meghan,Kensler,ONLINE
27906,NAIS 31,01Y,M,1130,1320,David,Palaita,MCC-10
27905,NAIS 31,02V,M,1130,1320,David,Palaita,MCC-10
00117,ARTS 1A,01Y,R,1230,1420,Elizabeth,Mjelde,MLC103
26854,ARTS 1A,02Y,W,930,1120,Paul,Roehl,FOR3
26940,ARTS 1A,03Y,M,1430,1620,Yael,Karmi,VPA132
26225,ARTS 1A,04Y,F,930,1120,Paul,Roehl,A11
24216,ARTS 1A,62Z,,,,Elizabeth,Mjelde,ONLINE
24443,ARTS 1A,63Z,,,,Elizabeth,Mjelde,ONLINE
25463,ARTS 1A,64Z,,,,Yael,Karmi,ONLINE
21198,ARTS 1A,65Z,,,,Deborah,Pasturel,ONLINE
00120,ARTS 2A,50Z,,,,Deborah,Pasturel,ONLINE
00121,ARTS 2B,50Z,,,,Linda,Becerril,ONLINE
25978,ARTS 2C,65Z,,,,Elizabeth,Mjelde,ONLINE
00123,ARTS 2D,50Z,,,,Linda,Becerril,ONLINE
00127,ARTS 2F,61Z,,,,Catie,Cadge-Moore,ONLINE
02534,ARTS 2F,62Z,,,,Catie,Cadge-Moore,ONLINE
25791,ARTS 2G,61Z,,,,So,Kam Lee,ONLINE
27624,ARTS 2J,60Z,,,,Catie,Cadge-Moore,ONLINE
25297,ARTS 3TC,50Z,,,,Natasha,Kleit,ONLINE
26329,ARTS 4A,01Y,,,,Darren,Kerr,ONLINE
22907,ARTS 4A,02,MW,1230,1345,Darren,Kerr,A94
22910,ARTS 4A,03Y,,,,Darren,Kerr,ONLINE
22909,ARTS 4A,52Z,,,,Masako,Miki,ONLINE
22908,ARTS 4A,53Z,,,,Masako,Miki,ONLINE
25422,ARTS 4A,54Z,,,,Meiru,Huang,ONLINE
27644,ARTS 4B,01Z,,,,Meiru,Huang,ONLINE
27645,ARTS 4C,01,MW,930,1045,Meiru,Huang,A94
22916,ARTS 8,01Y,,,,Meiru,Huang,ONLINE
22913,ARTS 8,51Z,,,,Eugene,Rodriguez,ONLINE
23617,ARTS 10A,01,MW,930,1045,Patricia,Jauch,A71
23618,ARTS 10B,01,MW,930,1045,Patricia,Jauch,A71
26505,ARTS 12,01Y,,,,Kimberly,Cook,ONLINE
22917,ARTS 12,50Z,,,,Eugene,Rodriguez,ONLINE
25979,ARTS 14A,01,TR,930,1045,Lei,Chi,A93
26521,ARTS 14B,01,TR,930,1045,Lei,Chi,A93
26522,ARTS 14C,01,TR,930,1045,Lei,Chi,A93
27646,ARTS 15A,01Y,,,,Eugene,Rodriguez,ONLINE
27647,ARTS 15B,01Y,,,,Eugene,Rodriguez,ONLINE
27648,ARTS 15C,01Y,,,,Eugene,Rodriguez,ONLINE
23623,ARTS 18A,01,MW,930,1045,Rocky,Lewycky,A51
27649,ARTS 18A,02,MW,1230,1345,Rocky,Lewycky,A51
23622,ARTS 18A,02L,F,930,1220,Crystal,Kamoroff,A51
27068,ARTS 18B,01,TR,930,1045,Rocky,Lewycky,A51
27070,ARTS 18C,01,TR,930,1045,Rocky,Lewycky,A51
27079,ARTS 18D,01,F,930,1220,Crystal,Kamoroff,A51
27071,ARTS 18E,01,TR,930,1045,Rocky,Lewycky,A51
27650,ARTS 19M,01,MW,930,1045,Rocky,Lewycky,A51
23619,ARTS 37A,01,MW,1230,1345,Patricia,Jauch,A71
23620,ARTS 37B,01,MW,1230,1345,Patricia,Jauch,A71
23621,ARTS 37C,01,MW,1230,1345,Patricia,Jauch,A71
24139,ARTS 53,01Y,,,,Marco,Marquez,ONLINE
24141,ARTS 53,65Z,,,,Marco,Marquez,ONLINE
24140,ARTS 54,62Y,,,,Stacey,Houghton,ONLINE
26507,ARTS 55A,01Z,,,,Marco,Marquez,ONLINE
27076,ARTS 56,50Z,,,,Marco,Marquez,ONLINE
27077,ARTS 86,01,TR,930,1045,Marco,Marquez,AT312
00207,ASTR 4,01Z,TR,1330,1420,Rachel,Mastrapa,ONLINE
00209,ASTR 4,02Z,TR,1430,1520,Srikar,Srinath,ONLINE
27087,ASTR 4,04,TR,1330,1545,Caitlin,Marie Kepple,PLT
00206,ASTR 4,50Z,,,,Caitlin,Marie Kepple,ONLINE
00208,ASTR 4,61Z,,,,Rachel,Mastrapa,ONLINE
24967,ASTR 4,62Z,,,,Marek,Cichanski,ONLINE
25942,ASTR 4,63Z,,,,Marek,Cichanski,ONLINE
00210,ASTR 4,65Z,,,,Eric,Peterson,ONLINE
27731,ASTR 10,01,MW,1330,1545,Caitlin,Marie Kepple,PLT
25461,ASTR 10,51Z,,,,Eric,Peterson,ONLINE
27928,APRN 60A,01,TR,1800,2215,Gerilowie,Escalona,E12C
27929,APRN 60B,01,TR,1800,2215,Gerilowie,Escalona,E12C
25343,APRN 60F,95,TR,1800,2215,Xavier,Silva,E12F
25345,APRN 60G,96,TR,1800,2215,Xavier,Silva,E12F
26473,APRN 61A,95,MW,1800,2215,Michael,Rodemeyer,E12C
26474,APRN 61B,96,MW,1800,2215,Michael,Rodemeyer,E12C
27916,APRN 65P,61,MW,1930,2245,Pete,Vernazza,S49
27917,APRN 65W,62,MW,1800,1905,Pete,Vernazza,S49
00213,AUTO 50A,01,MW,1030,1220,Bill,Wishart,E12A
00214,AUTO 50A,02,TR,1030,1220,Bill,Wishart,E12A
00215,AUTO 50A,61,T,1800,2150,Bill,Wishart,E12A
26503,AUTO 50A,62,W,1800,2150,Bill,Wishart,E12A
23979,AUTO 50B,01,M,1230,1345,Bill,Wishart,E12A
26512,AUTO 50B,02,T,1230,1345,Ivan,Kojnok,E12A
23983,AUTO 50B,61,M,1800,1915,Bill,Wishart,E12A
23982,AUTO 50B,62,R,1800,1915,Travis,Loiacono,E12A
26472,AUTO 57A,55Z,,,,Brett,Johnson,ONLINE
00221,AUTO 60,61,MW,1800,2215,Ivan,Kojnok,E12B
26843,AUTO 60,62,TR,1800,2215,Ivan,Kojnok,E12B
27924,AUTO 60A,01,TR,1800,2215,Gerilowie,Escalona,E12C
00222,AUTO 60A,95,MW,1800,2215,Xavier,Silva,E12F
27925,AUTO 60B,01,TR,1800,2215,Gerilowie,Escalona,E12C
00223,AUTO 60B,96,MW,1800,2215,Xavier,Silva,E12F
25331,AUTO 60F,95,TR,1800,2215,Xavier,Silva,E12F
25336,AUTO 60G,96,TR,1800,2215,Xavier,Silva,E12F
26476,AUTO 61A,95,MW,1800,2215,Michael,Rodemeyer,E12C
26477,AUTO 61B,96,MW,1800,2215,Michael,Rodemeyer,E12C
27676,AUTO 65P,61,MW,1930,2245,Pete,Vernazza,S49
27678,AUTO 65W,62,MW,1800,1905,Pete,Vernazza,S49
23611,AUTO 91A,55,MT,730,920,James,Tallent,E12C
23879,AUTO 92A,55,WR,730,920,James,Tallent,E12C
23612,AUTO 94A,55,TWRF,730,920,Brett,Johnson,E12B
23613,AUTO 94B,55,TWRF,730,920,Brett,Johnson,E12B
23791,AUTO 99A,55,MTWRF,730,850,Pete,Vernazza,E12F
23796,AUTO 99B,55,MTWRF,730,850,Pete,Vernazza,E12F
25776,AUTO 350A,01,MW,1030,1220,Bill,Wishart,E12A
25786,AUTO 350A,02,TR,1030,1220,Bill,Wishart,E12A
24961,AUTO 350A,61,T,1800,2150,Bill,Wishart,E12A
26504,AUTO 350A,62,W,1800,2150,Bill,Wishart,E12A
26021,AUTO 350B,01,M,1230,1345,Bill,Wishart,E12A
26510,AUTO 350B,02,T,1230,1345,Ivan,Kojnok,E12D
24962,AUTO 350B,61,M,1800,1915,Bill,Wishart,E12A
25538,AUTO 350B,62,R,1800,1915,Travis,Loiacono,E12A
24963,AUTO 360,61,MW,1800,2215,Ivan,Kojnok,E12B
26845,AUTO 360,62,TR,1800,2215,Ivan,Kojnok,E12B
27926,AUTO 360A,01,TR,1800,2215,Gerilowie,Escalona,E12C
25770,AUTO 360A,95,MW,1800,2215,Xavier,Silva,E12F
27927,AUTO 360B,01,TR,1800,2215,Gerilowie,Escalona,E12C
25771,AUTO 360B,96,MW,1800,2215,Xavier,Silva,E12F
25768,AUTO 360F,95,TR,1800,2215,Xavier,Silva,E12F
25769,AUTO 360G,96,TR,1800,2215,Xavier,Silva,E12F
26470,AUTO 361A,95,MW,1800,2215,Michael,Rodemeyer,E12C
26469,AUTO 361B,96,MW,1800,2215,Michael,Rodemeyer,E12C
27677,AUTO 365P,61,MW,1930,2245,Pete,Vernazza,S49
27679,AUTO 365W,62,MW,1800,1905,Pete,Vernazza,S49
00237,BIOL 6A,01Y,,,,Simon,Kang'a,ONLINE
27809,BIOL 6A,02Y,,,,Simon,Kang'a,ONLINE
00239,BIOL 6A,03Y,,,,Bruce,Heyer,ONLINE
00240,BIOL 6A,04Y,,,,Bruce,Heyer,ONLINE
00241,BIOL 6A,05Y,,,,Elizabeth,Mcpartlan,ONLINE
00243,BIOL 6A,06Y,,,,Elizabeth,Mcpartlan,ONLINE
